Plant,Material,Storage location,Key,MRP Controller,MRP Type,Material type,Material Group,Val. stock,Val. stock,ValStckVal,ValStckVal,CnsgtStock,CnsgtStock,Val.Stock in May 2025,Increase
"11F2 SHP Process Complex, UT OFFSHO",220017074 PAD(JOURNAL BRG)& PAD (JOURNAL BRG W/RT*,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220017074 PAD(JOURNAL BRG)& PAD (JOURNAL BRG W/RT*11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,3,ST,4380811.03,INR,0,ST,"43,80,811.03",0
"11F2 SHP Process Complex, UT OFFSHO","220104252 ÔO' RING, N.D.E. END COVER",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220104252 ÔO' RING, N.D.E. END COVER11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,2,NO,162065.66,INR,0,NO,"43,68,785.08",4206719.42
"11F2 SHP Process Complex, UT OFFSHO",220095097 THRUST BEARING ASSY,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220095097 THRUST BEARING ASSY11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,1,NO,4191277.52,INR,0,NO,"41,91,277.52",0
"11F2 SHP Process Complex, UT OFFSHO",221358730 SEAL RING (OUTER) WITH PIN,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO221358730 SEAL RING (OUTER) WITH PIN11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,12,NO,4097235.22,INR,0,NO,"40,97,235.22",0
"11F2 SHP Process Complex, UT OFFSHO",221445989 SEAL OIL FILTER ELEMENT,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO221445989 SEAL OIL FILTER ELEMENT11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,24,NO,2714695.62,INR,0,NO,"40,19,947.93",1305252.31
"11F2 SHP Process Complex, UT OFFSHO",221361038 MET.SPACER TYPE FLEXIBLE COUPLING,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO221361038 MET.SPACER TYPE FLEXIBLE COUPLING11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,2,NO,4000515,INR,0,NO,"40,00,515.00",0
"11F2 SHP Process Complex, UT OFFSHO",0C5103000 WATER MIST UNIT,11F2FP01                       SHP-PEL-01,"11F2 SHP Process Complex, UT OFFSHO0C5103000 WATER MIST UNIT11F2FP01                       SHP-PEL-01",AAA AAA,ND No planning,ZCAP ONGC Capital,0C        CAPITAL ITEMS,0,NO,0,INR,0,NO,"38,51,910.75",3851910.75
"11F2 SHP Process Complex, UT OFFSHO",220045682 ASSEMBLY VALVE BOOM,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220045682 ASSEMBLY VALVE BOOM11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,1,NO,3849248.88,INR,0,NO,"38,49,248.88",0
"11F2 SHP Process Complex, UT OFFSHO",280017409 UVT CONTROLLER AUR-1CD UVT 240V C/W AGR-,11F2NP26                       NH-PEL-26,"11F2 SHP Process Complex, UT OFFSHO280017409 UVT CONTROLLER AUR-1CD UVT 240V C/W AGR-11F2NP26                       NH-PEL-26",AAP AAP,ND No planning,ZSPR ONGC Spares,28        Spare-ElectricPlant,0,NO,0,INR,0,NO,"38,25,427.12",3825427.12
"11F2 SHP Process Complex, UT OFFSHO",360125010 BAG FILTER,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO360125010 BAG FILTER11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,36        Rotating Equip-MOP,118,NO,3466142.94,INR,0,NO,"37,59,933.59",293790.65
"11F2 SHP Process Complex, UT OFFSHO","270000814 ARM,SWING LOCK LEVER",11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO270000814 ARM,SWING LOCK LEVER11F2FN01                       SHP-Main-01",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,0,NO,0,INR,0,NO,"37,32,535.09",3732535.09
"11F2 SHP Process Complex, UT OFFSHO",150004815 PRESSURE TRANSMITTER 0-160 KG/CM2 316 S*,11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO150004815 PRESSURE TRANSMITTER 0-160 KG/CM2 316 S*11F2FN01                       SHP-Main-01",AAS AAS,ND No planning,ZSTO ONGC Stores,15        Tubing pipe& fitting,0,NO,0,INR,0,NO,"36,38,322.03",3638322.03
"11F2 SHP Process Complex, UT OFFSHO","270008614 ASSY,2 BLK(MAIN & AUX)",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO270008614 ASSY,2 BLK(MAIN & AUX)11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,27        Spare-Ind Tpt equip,6,NO,2577283.13,INR,0,NO,"34,27,457.74",850174.61
